n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,100,8.173903137734265e-13,8.353059660267956,0.10433676813907734,3.1464888675288805e-07,0.85170702648091,10.433676813907734,8.353059660267956,0.8005863905170623,1.7328382405774885
20,100,5.7747996935880604e-15,15.151244534690573,0.199648823138224,6.48983624095469e-07,1.5452845037915501,19.9648823138224,15.151244534690573,0.7588947581324247,2.02853970680484
30,100,1.2447219615763644e-11,17.225893721513756,0.2880782238497746,6.6313799442298795e-06,1.824007805298807,28.80782238497746,17.225893721513756,0.5979588978060563,3.1822980155893283
40,100,1.4410417855048304e-12,21.78388428979622,0.3475318223015016,4.9321572855198825e-06,2.257943654753768,34.75318223015016,21.78388428979622,0.6268169673077474,3.3074682768683608
50,100,3.755649218207395e-11,24.16886145672543,0.41070090263952175,3.3532451957203177e-06,2.5694960138515106,41.070090263952174,24.16886145672543,0.5884784109651398,3.342199068503601
60,100,6.265280005042985e-14,25.5771188693222,0.42034942483085713,1.4255540327361234e-06,2.6485839050534947,42.034942483085715,25.5771188693222,0.6084727933103294,3.6763916046857785
70,100,6.103889849806601e-12,26.18341263362761,0.43922187770128135,5.591874057938741e-06,2.8086210622450714,43.92218777012813,26.18341263362761,0.5961317949520534,3.163563836109719
80,100,2.2832561622772824e-13,24.408725915474456,0.41596490043274487,7.603648309793749e-07,2.5512617458771722,41.596490043274486,24.408725915474456,0.586797729569997,3.751574097820584
90,100,1.6553232853351885e-12,15.635370668501803,0.3376996245711696,9.632503063212539e-07,1.7723384187623017,33.76996245711696,15.635370668501803,0.46299638882798566,4.568297069573687
100,100,4.898129721820165e-13,19.447079815233653,0.37330120637270225,5.514117593490004e-07,2.1332701748879486,37.33012063727023,19.447079815233653,0.5209487535333003,3.953506364943657
125,100,2.411639798941191e-12,14.71911837779978,0.32061198961640147,6.264303738028951e-07,1.669473565817111,32.061198961640144,14.71911837779978,0.45909444607516325,4.925647764398941
150,100,2.0226028017437687e-13,15.998314039168054,0.30260475440020373,4.810242803210199e-07,1.699418020288587,30.260475440020375,15.998314039168054,0.5286868037112797,4.528810760052383
175,100,2.976321444371231e-13,6.72125135213329,0.19111191705980687,2.6994647444158583e-07,0.8530960784144104,19.111191705980687,6.72125135213329,0.35169190155891383,5.912419627155992
200,100,1.7243797689451685e-13,9.12939039131329,0.21412819731310853,3.3116204000001466e-07,1.0327134328870156,21.412819731310854,9.12939039131329,0.4263516204717241,5.659645502340796
250,100,2.20015123938371e-14,6.240578223430056,0.17343518074795852,6.553392147371764e-08,0.7777343808796578,17.343518074795853,6.240578223430056,0.35982193442627197,5.9485473097553205
300,100,8.120385248378888e-16,5.653237352240586,0.14486905865223576,1.6249472325433672e-08,0.6618492980573291,14.486905865223576,5.653237352240586,0.3902308336117113,6.075806419304742
400,100,3.4568790877956328e-15,4.831582268289894,0.13992214443833342,1.0099625724191307e-08,0.5789923408611571,13.992214443833342,4.831582268289894,0.34530504715208055,7.39650440583274
500,100,5.812799619996256e-16,3.5186910804738165,0.1277444550030769,5.437158373976277e-09,0.4722895690269056,12.77444550030769,3.5186910804738165,0.2754476568387304,8.304816264553873
750,100,8.633292907598816e-16,2.865575133958265,0.10747404195256749,1.7973694158384925e-09,0.38326323082707714,10.747404195256749,2.865575133958265,0.2666295118241627,8.987702058792856
1000,100,1.907308898837846e-16,3.1418180097422708,0.11339349513535092,3.1021576975378614e-09,0.40957293563863145,11.339349513535092,3.1418180097422708,0.2770721553288461,8.988705618636981
1250,100,-2.076224756083794e-17,2.4998550664302717,0.08939692730998759,6.078270090043932e-10,0.3387178477580666,8.93969273099876,2.4998550664302717,0.2796354574651005,7.954159741394787
1500,100,6.49164835277722e-16,3.0186209228290988,0.0941352853350862,2.9496880112916008e-09,0.3646727838342831,9.41352853350862,3.0186209228290988,0.3206683776528582,8.275341312726441
1750,100,1.3015695286861997e-16,2.5437466092257957,0.08916875478681643,1.2284901267835052e-09,0.32533998800441305,8.916875478681643,2.5437466092257957,0.2852733129791208,8.990853497914843
2000,100,4.912023380290531e-16,2.3233938196239183,0.08193096751365596,2.396803465565891e-09,0.29539187012132156,8.193096751365596,2.3233938196239183,0.2835794437843863,9.361488882422984
2500,100,2.3993773142931797e-16,1.948167236369553,0.0741537330855983,1.1986681092753894e-09,0.26140170326487494,7.415373308559831,1.948167236369553,0.2627200486482203,9.29179261739167
5000,100,8.190503061081398e-17,1.340043431630177,0.062338743281387894,4.222215274373272e-09,0.19618691802214175,6.233874328138789,1.340043431630177,0.21496157302713317,11.10110303137846
