n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,25,6.02890510079566e-08,19.314329469715098,1.2202613219179343,0.02039909637639755,3.9153029178845986,30.50653304794836,19.314329469715098,0.6331210904679985,3.140900882626541
20,25,6.581517655165951e-08,14.114141919742206,1.0105362695414197,0.004732027855912877,2.9675293421149123,25.263406738535494,14.114141919742206,0.55867928129476,3.4935393097795613
30,25,4.735042180056877e-10,11.649221375735706,0.9037560907959921,0.0038204241812655926,2.4919000754502965,22.5939022698998,11.649221375735706,0.5155913855241868,3.95117974705506
40,25,3.974202431861797e-08,23.127279429266743,1.4465336127886,0.0019559289815751554,4.641933151855599,36.163340319715,23.127279429266743,0.6395227660056213,3.111643291734496
50,25,8.351719368155435e-09,7.818257362117143,0.8315275469065349,0.0016157703776680636,1.9572364126289594,20.78818867266337,7.818257362117143,0.3760913221072605,4.7091139166238065
60,25,3.4380191363963037e-09,6.510035916067335,0.6034048496674363,0.00023952584137378426,1.6014900620389636,15.08512124168591,6.510035916067335,0.43155343677832947,3.7261486538241826
70,25,1.5225190201724758e-08,5.6119560994849245,0.7265896582736989,0.002459814972882803,1.5447779239751616,18.164741456842474,5.6119560994849245,0.30894775534341323,5.3091436572783275
80,25,1.4476285282274684e-08,5.749557716435312,0.6930291874902931,0.0006115775217490141,1.4171087912554794,17.325729687257326,5.749557716435312,0.3318508265001952,5.917187754544435
90,25,3.044604653340863e-12,3.8563642493244403,0.4951628529014389,1.277605885688254e-05,1.0843309436284931,12.379071322535973,3.8563642493244403,0.3115229041700381,4.720233641135229
100,25,4.35683483537637e-11,6.692781656254114,0.6828282792137498,6.182515041573314e-05,1.6605974390273905,17.070706980343743,6.692781656254114,0.3920623594535711,4.25389307069235
125,25,4.433684177419638e-12,4.562824609894958,0.48053137197209117,5.679826689942629e-06,1.112831376396496,12.01328429930228,4.562824609894958,0.37981491956866137,4.548828431465538
150,25,7.538153389264976e-11,4.363475453400339,0.47556046342439456,4.138954694296381e-06,1.1427386595893754,11.889011585609865,4.363475453400339,0.3670175120934166,4.2977957135754545
175,25,7.58210200199813e-12,4.462185362126337,0.4494236625864312,2.6102949379415855e-06,1.058547490283004,11.23559156466078,4.462185362126337,0.397147345241813,4.503256079855861
200,25,1.364725158346472e-11,3.192779528093822,0.397519846673944,4.728375023180484e-06,0.8848950588765044,9.9379961668486,3.192779528093822,0.32126994964481576,4.79232513956257
250,25,1.2986491051376495e-11,3.951777249299391,0.4274507132262608,1.623383559865946e-05,0.9646977254167232,10.68626783065652,3.951777249299391,0.36979957005781033,4.79887891190003
300,25,1.1950428329301276e-12,2.9046726744280655,0.35933991306676044,1.3338050856029413e-06,0.7507739475472676,8.98349782666901,2.9046726744280655,0.3233342658363049,5.401294134237841
400,25,9.956453576875547e-12,2.3674992220337536,0.31344097768213663,1.0680132513921215e-06,0.6372813829515906,7.836024442053416,2.3674992220337536,0.30213014769685365,5.574732825677402
500,25,6.1982316971359894e-12,2.56660729635121,0.2729791889787236,4.057797438563103e-06,0.5830840019121888,6.82447972446809,2.56660729635121,0.3760883466543313,5.603893403800702
750,25,6.894137965756546e-13,2.152806734383131,0.2612065957136885,2.5142219548624e-07,0.5520164289107616,6.530164892842213,2.152806734383131,0.3296711139320306,5.390123406978165
1000,25,2.34922021563135e-12,2.0389979375696425,0.2548939173825507,1.4367110455588052e-05,0.5075775896865325,6.372347934563767,2.0389979375696425,0.3199759270064444,5.799881697948492
1250,25,5.564823994578951e-13,1.4729916761921027,0.2451549012634241,1.1260389577061654e-05,0.43008216611065675,6.1288725315856025,1.4729916761921027,0.24033648417403528,6.8550180150280555
1500,25,3.4139334157296355e-13,1.7067463937401337,0.2526719731481358,7.769206938159823e-05,0.44484077141176737,6.316799328703395,1.7067463937401337,0.27019164373082366,7.1026920870723895
1750,25,1.4794405982867343e-14,1.350310367001676,0.23371118132915988,7.4542382048093e-05,0.4101680274415332,5.842779533228997,1.350310367001676,0.2311075335501202,6.9655703655597305
2000,25,1.892545270273805e-12,1.530396941610934,0.2325476376670723,6.569190589166652e-05,0.42461290428428905,5.813690941676807,1.530396941610934,0.2632401613646031,6.7042435100699445
2500,25,3.490517843335383e-12,1.4553233080114585,0.22888908302686845,0.00014927360167775613,0.3982179730463931,5.722227075671711,1.4553233080114585,0.2543281293744575,7.419253522461826
5000,25,2.0171680723501484e-12,1.136870202858749,0.20949028884138268,0.009758158271253616,0.3154549654534575,5.237257221034567,1.136870202858749,0.21707358544329272,8.990488917201032
