alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,ridge_train_loss,ridge_population_risk,ridge_generalization_gap,ridge_excess_population_risk,pca_train_loss,pca_population_risk,pca_generalization_gap,pca_excess_population_risk,pca_n_components,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,effective_rank,datetime
,42,10,5000,0.7757907183576621,1.2639806870058825,0.7459898192227884,0.7442453879774673,0.4881899686482204,0.5179908677830941,,,,,,,,,,32.687718553468585,0.006537543710693717,0.930633381870371,0.7822142024394569,0.7822142024394569,0.1484191794309141,0.9291393503308687,0.7757907183576621,0.7757907183576621,0.15334863197320658,6.423477872353121,6.423477872353121,5.142604786381612,4.103760765980924e-14,0.8005950808230484,1.67487235136843,20260331-200726
,42,20,5000,0.7577722144538868,1.3668873137998878,0.7459898192227884,0.7454181622596684,0.609115099346001,0.6208974945770994,,,,,,,,,,30.973432259634137,0.006194686451926827,0.9574997001096287,0.7752992118024018,0.7752992118024018,0.1822004883072269,0.9560179453155403,0.7577722144538868,0.7577722144538868,0.19824573086165354,17.5269519505104,17.5269519505104,12.707418134578795,1.2594773118448664e-13,0.7250215650992727,2.208638848654275,20260331-200740
,42,30,5000,0.807314999573761,1.307610932332123,0.7459898192227884,0.7467300174943223,0.500295932758362,0.5616211131093346,,,,,,,,,,31.221968131139874,0.006244393626227975,0.9825954184198407,0.8306916951555466,0.8306916951555466,0.15190372326429402,0.9811701449833959,0.807314999573761,0.807314999573761,0.17385514540963498,23.376669952273705,23.37666995227371,12.887284556396702,1.551836537558031e-14,0.5512882965241692,3.227478883979359,20260331-200740
,42,40,5000,0.7821689996931499,1.282375007902718,0.7459898192227884,0.7451506171284327,0.5002060082095682,0.5363851886799297,,,,,,,,,,32.73699357174337,0.006547398714348674,0.9685259925992301,0.8078962844469332,0.8078962844469332,0.16062970815229693,0.9668196005673035,0.7821689996931499,0.7821689996931499,0.18465060087415364,25.7272630172901,25.727263017290102,15.799485495592158,1.4807927866373526e-12,0.6141145089928162,3.4368905418238684,20260331-200740
,42,50,5000,0.8410776302452214,1.3199163176366027,0.7459898192227884,0.7483034580053856,0.47883868739138125,0.5739264984138143,,,,,,,,,,40.11716314218938,0.008023432628437877,0.9949843319706084,0.8722380962942006,0.8722380962942006,0.12274623567640786,0.9935843384775426,0.8410776302452214,0.8410776302452214,0.15250670823232115,31.160439395005955,31.16043939500595,17.55681105630078,7.652275821877345e-14,0.5634327178041846,3.309913777011134,20260331-200744
,42,60,5000,0.836917787863568,1.23165997315233,0.7459898192227884,0.7477157561670346,0.3947421852887619,0.4856701539295415,,,,,,,,,,26.563632963225245,0.005312726592645049,0.9681832871662035,0.8625636693329246,0.8625636693329246,0.10561961783327889,0.9666978951853639,0.836917787863568,0.836917787863568,0.1297801073217959,25.64586930118226,25.645869301182255,15.563997714035267,4.612505864587797e-14,0.6068812693090411,3.1643176838675613,20260331-200754
,42,70,5000,0.8860570785983173,1.2076094467910037,0.7459898192227884,0.7455866174238598,0.3215523681926864,0.4616196275682153,,,,,,,,,,42.518891209736466,0.008503778241947294,1.0112157724697526,0.9098066595440081,0.9098066595440081,0.1014091129257445,1.0097636520834983,0.8860570785983173,0.8860570785983173,0.12370657348518099,23.7495714787889,23.7495714787889,12.105789077232332,1.8163384154304265e-14,0.509726631827618,3.744916751164077,20260331-200751
,42,80,5000,0.8690126318637968,1.1558323689067382,0.7459898192227884,0.7469515279188461,0.2868197370429414,0.40984254968394984,,,,,,,,,,26.06020227819681,0.005212040455639362,0.9620780131169931,0.8885543761805832,0.8885543761805832,0.07352363693640995,0.960624166621493,0.8690126318637968,0.8690126318637968,0.09161153475769612,19.54173889325274,19.541738893252745,9.729706605982424,1.6197003131799139e-13,0.49789359376518144,3.965807062000262,20260331-200800
,42,90,5000,0.8653816789521599,1.1130597633443755,0.7459898192227884,0.7447202207247535,0.24767808439221561,0.3670699441215871,,,,,,,,,,45.57032322883606,0.009114064645767212,0.9617403619709952,0.8818284276951396,0.8818284276951396,0.07991193427585563,0.9604356986607728,0.8653816789521599,0.8653816789521599,0.09505401970861294,16.446742219724896,16.446742219724893,7.433573101905378,6.700218154218427e-14,0.45197845278988746,4.365766081730683,20260331-200757
,42,100,5000,0.899617667159511,1.090978886293765,0.7459898192227884,0.7482874717141846,0.19136121913425408,0.34498906707097665,,,,,,,,,,43.202054569497705,0.00864041091389954,0.9847633522766283,0.9151954768289278,0.9151954768289278,0.06956787544770049,0.983454952248704,0.899617667159511,0.8996153048351833,0.08383728508919308,15.57780534328713,15.577805343287132,7.667332663125533,4.83610652594282e-14,0.49219594764223845,4.228530913295282,20260331-200811
